simTime,nodeType,nodeId,pred_stab,pred_latency_ms,pred_load_pps
10,rsu,10.0.0.14,0.0001,2.0490,1.1097
10,rsu,10.0.0.18,0.0001,2.0490,1.1097
10,rsu,10.0.0.22,0.0001,2.0490,1.1097
10,rsu,10.0.0.26,0.0001,2.0490,1.1097
10,rsu,10.0.0.30,0.0001,2.0490,1.1097
10,rsu,10.0.0.34,0.0001,2.0490,1.1097
10,rsu,10.0.0.38,0.0001,2.0490,1.1097
10,rsu,10.0.0.42,0.0001,2.0490,1.1097
10,rsu,10.0.0.46,0.0001,2.0490,1.1097
10,rsu,10.0.0.50,0.0001,2.0490,1.1097
10,rsu,10.0.0.54,0.0001,2.0490,1.1097
10,rsu,10.0.0.58,0.0001,2.0490,1.1097
20,rsu,10.0.0.14,0.0001,2.0490,1.1097
20,rsu,10.0.0.18,0.0001,2.0490,1.1097
20,rsu,10.0.0.22,0.0001,2.0490,1.1097
20,rsu,10.0.0.26,0.0001,2.0490,1.1097
20,rsu,10.0.0.30,0.0001,2.0490,1.1097
20,rsu,10.0.0.34,0.0001,2.0490,1.1097
20,rsu,10.0.0.38,0.0001,2.0490,1.1097
20,rsu,10.0.0.42,0.0001,2.0490,1.1097
20,rsu,10.0.0.46,0.0001,2.0490,1.1097
20,rsu,10.0.0.50,0.0001,2.0490,1.1097
20,rsu,10.0.0.54,0.0001,2.0490,1.1097
20,rsu,10.0.0.58,0.0001,2.0490,1.1097
30,rsu,10.0.0.14,0.0001,2.0490,1.1097
30,rsu,10.0.0.18,0.0001,2.0490,1.1097
30,rsu,10.0.0.22,0.0001,2.0490,1.1097
30,rsu,10.0.0.26,0.0001,2.0490,1.1097
30,rsu,10.0.0.30,0.0001,2.0490,1.1097
30,rsu,10.0.0.34,0.0001,2.0490,1.1097
30,rsu,10.0.0.38,0.0001,2.0490,1.1097
30,rsu,10.0.0.42,0.0001,2.0490,1.1097
30,rsu,10.0.0.46,0.0001,2.0490,1.1097
30,rsu,10.0.0.50,0.0001,2.0490,1.1097
30,rsu,10.0.0.54,0.0001,2.0490,1.1097
30,rsu,10.0.0.58,0.0001,2.0490,1.1097
40,rsu,10.0.0.14,0.0001,2.0490,1.1097
40,rsu,10.0.0.18,0.0001,2.0490,1.1097
40,rsu,10.0.0.22,0.0001,2.0490,1.1097
40,rsu,10.0.0.26,0.0001,2.0490,1.1097
40,rsu,10.0.0.30,0.0001,2.0490,1.1097
40,rsu,10.0.0.34,0.0001,2.0490,1.1097
40,rsu,10.0.0.38,0.0001,2.0490,1.1097
40,rsu,10.0.0.42,0.0001,2.0490,1.1097
40,rsu,10.0.0.46,0.0001,2.0490,1.1097
40,rsu,10.0.0.50,0.0001,2.0490,1.1097
40,rsu,10.0.0.54,0.0001,2.0490,1.1097
40,rsu,10.0.0.58,0.0001,2.0490,1.1097
50,rsu,10.0.0.14,0.0001,2.0490,1.1097
50,rsu,10.0.0.18,0.0001,2.0490,1.1097
50,rsu,10.0.0.22,0.0001,2.0490,1.1097
50,rsu,10.0.0.26,0.0001,2.0490,1.1097
50,rsu,10.0.0.30,0.0001,2.0490,1.1097
50,rsu,10.0.0.34,0.0001,2.0490,1.1097
50,rsu,10.0.0.38,0.0001,2.0490,1.1097
50,rsu,10.0.0.42,0.0001,2.0490,1.1097
50,rsu,10.0.0.46,0.0001,2.0490,1.1097
50,rsu,10.0.0.50,0.0001,2.0490,1.1097
50,rsu,10.0.0.54,0.0001,2.0490,1.1097
50,rsu,10.0.0.58,0.0001,2.0490,1.1097
60,rsu,10.0.0.14,0.0001,2.0490,1.1097
60,rsu,10.0.0.18,0.0001,2.0490,1.1097
60,rsu,10.0.0.22,0.0001,2.0490,1.1097
60,rsu,10.0.0.26,0.0001,2.0490,1.1097
60,rsu,10.0.0.30,0.0001,2.0490,1.1097
60,rsu,10.0.0.34,0.0001,2.0490,1.1097
60,rsu,10.0.0.38,0.0001,2.0490,1.1097
60,rsu,10.0.0.42,0.0001,2.0490,1.1097
60,rsu,10.0.0.46,0.0001,2.0490,1.1097
60,rsu,10.0.0.50,0.0001,2.0490,1.1097
60,rsu,10.0.0.54,0.0001,2.0490,1.1097
60,rsu,10.0.0.58,0.0001,2.0490,1.1097
70,rsu,10.0.0.14,0.0001,2.0490,1.1097
70,rsu,10.0.0.18,0.0001,2.0490,1.1097
70,rsu,10.0.0.22,0.0001,2.0490,1.1097
70,rsu,10.0.0.26,0.0001,2.0490,1.1097
70,rsu,10.0.0.30,0.0001,2.0490,1.1097
70,rsu,10.0.0.34,0.0001,2.0490,1.1097
70,rsu,10.0.0.38,0.0001,2.0490,1.1097
70,rsu,10.0.0.42,0.0001,2.0490,1.1097
70,rsu,10.0.0.46,0.0001,2.0490,1.1097
70,rsu,10.0.0.50,0.0001,2.0490,1.1097
70,rsu,10.0.0.54,0.0001,2.0490,1.1097
70,rsu,10.0.0.58,0.0001,2.0490,1.1097
80,rsu,10.0.0.14,0.0001,2.0490,1.1097
80,rsu,10.0.0.18,0.0001,2.0490,1.1097
80,rsu,10.0.0.22,0.0001,2.0490,1.1097
80,rsu,10.0.0.26,0.0001,2.0490,1.1097
80,rsu,10.0.0.30,0.0001,2.0490,1.1097
80,rsu,10.0.0.34,0.0001,2.0490,1.1097
80,rsu,10.0.0.38,0.0001,2.0490,1.1097
80,rsu,10.0.0.42,0.0001,2.0490,1.1097
80,rsu,10.0.0.46,0.0001,2.0490,1.1097
80,rsu,10.0.0.50,0.0001,2.0490,1.1097
80,rsu,10.0.0.54,0.0001,2.0490,1.1097
80,rsu,10.0.0.58,0.0001,2.0490,1.1097
90,rsu,10.0.0.14,0.0001,2.0490,1.1097
90,rsu,10.0.0.18,0.0001,2.0490,1.1097
90,rsu,10.0.0.22,0.0001,2.0490,1.1097
90,rsu,10.0.0.26,0.0001,2.0490,1.1097
90,rsu,10.0.0.30,0.0001,2.0490,1.1097
90,rsu,10.0.0.34,0.0001,2.0490,1.1097
90,rsu,10.0.0.38,0.0001,2.0490,1.1097
90,rsu,10.0.0.42,0.0001,2.0490,1.1097
90,rsu,10.0.0.46,0.0001,2.0490,1.1097
90,rsu,10.0.0.50,0.0001,2.0490,1.1097
