simTime,t_build_snapshot_ms,t_infer_ms
10,30.266,161.411
20,32.619,140.654
30,32.670,140.955
40,34.029,140.507
50,35.059,140.898
60,35.516,140.834
70,37.277,139.722
80,37.303,140.486
90,37.294,139.828
100,37.177,140.194
110,38.719,141.396
120,39.251,141.582
130,38.230,139.704
140,38.705,140.596
150,41.651,141.194
160,42.591,151.392
170,40.499,140.243
180,40.891,140.247
190,41.838,141.048
200,40.098,140.771
210,39.297,139.757
220,38.952,140.647
230,37.767,141.842
240,37.804,141.800
250,36.114,142.273
260,35.947,140.061
270,34.754,141.144
280,35.005,142.061
290,33.466,140.819
300,32.664,140.814
310,31.501,146.528
320,31.278,140.491
330,31.587,142.623
340,31.294,140.480
350,29.226,142.287
360,29.856,140.899
370,29.112,141.779
380,26.516,140.510
390,26.533,141.728
400,25.598,140.539
410,24.744,140.487
420,24.153,140.985
430,24.172,140.285
440,24.509,140.366
450,24.045,140.357
460,24.504,143.342
470,21.971,140.548
480,21.536,141.014
490,20.993,140.219
500,20.655,143.511
510,19.877,140.651
520,20.226,140.652
530,19.994,140.399
540,20.111,157.016
550,19.351,139.815
560,19.229,140.021
570,18.629,140.724
580,18.597,140.093
590,18.618,139.924
600,18.478,139.870
610,18.850,141.824
620,18.497,140.118
630,18.590,140.982
640,18.533,150.020
650,17.879,139.944
